Category	Pub_year	Count
Qual	1965	1
Qual	1966	1
Qual	1971	1
Qual	1974	1
Qual	1976	1
Qual	1978	21
Qual	1979	21
Qual	1980	15
Qual	1981	14
Qual	1982	21
Qual	1983	20
Qual	1984	18
Qual	1985	22
Qual	1986	23
Qual	1987	25
Qual	1988	24
Qual	1989	39
Qual	1990	39
Qual	1991	44
Qual	1992	42
Qual	1993	42
Qual	1994	41
Qual	1995	49
Qual	1996	48
Qual	1997	42
Qual	1998	36
Qual	1999	38
Qual	2000	57
Qual	2001	57
Qual	2002	59
Qual	2003	61
Qual	2004	60
Qual	2005	62
Qual	2006	69
Qual	2007	75
Qual	2008	78
Qual	2009	81
Qual	2010	84
Qual	2011	91
Qual	2012	96
Qual	2013	96
Qual	2014	98
Qual	2015	99
Qual	2016	104
Qual	2017	105
Qual	2018	108
Qual	2019	156
Quant	1971	5
Quant	1972	13
Quant	1973	15
Quant	1974	23
Quant	1975	12
Quant	1976	12
Quant	1977	18
Quant	1978	24
Quant	1979	38
Quant	1980	50
Quant	1981	50
Quant	1982	50
Quant	1983	47
Quant	1984	49
Quant	1985	81
Quant	1986	74
Quant	1987	68
Quant	1988	76
Quant	1989	90
Quant	1990	93
Quant	1991	109
Quant	1992	100
Quant	1993	85
Quant	1994	110
Quant	1995	119
Quant	1996	142
Quant	1997	113
Quant	1998	163
Quant	1999	130
Quant	2000	145
Quant	2001	184
Quant	2002	166
Quant	2003	186
Quant	2004	187
Quant	2005	205
Quant	2006	245
Quant	2007	230
Quant	2008	277
Quant	2009	324
Quant	2010	341
Quant	2011	332
Quant	2012	388
Quant	2013	393
Quant	2014	478
Quant	2015	495
Quant	2016	509
Quant	2017	514
Quant	2018	550
Quant	2019	491
Quant	2020	18
