word	good_bad_qual	qual_order	good_bad_quant	quant_order
context	0.027184690162539483	4	-0.15106049366295338	6
finding	0.014357481151819229	6	0.05245340961962938	4
historical	0.023823412507772444	5	-0.6068100485205651	10
hypothesis	0.010112158358097076	9	-0.04189330890774727	5
measure	0.013551003262400628	7	0.12495654683560133	2
performance	0.011552300304174423	8	0.18235383950173856	1
political	0.04046508140861988	3	-0.308250669836998	9
result	0.0015810006856918335	10	0.07396803542971611	3
social	0.06559693157672881	1	-0.19782438851892947	8
theory	0.04058880127966404	2	-0.16531040439382194	7
